latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
49.12384,38.34002,367,0.43,0.62,2022-09-02,0905,N,VIIRS,h,2.0NRT,295.93,4.74,D
49.12202,38.33435,334.68,0.43,0.62,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.4,4.74,D
47.51489,33.60406,327.84,0.76,0.77,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.46,4.78,D
48.864,36.42609,334.18,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.62,7.64,D
48.86174,36.41941,354.69,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.22,8.01,D
48.86264,36.42598,335.44,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.07,6.46,D
48.86033,36.41928,352.24,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.18,6.46,D
49.53104,37.06763,335.89,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,291.85,3.8,D
48.72438,34.63961,335.98,0.63,0.72,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.98,4.76,D
49.5357,37.06899,329.42,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.03,6.72,D
49.53374,37.06315,349.3,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.37,6.38,D
49.5527,37.01848,329.19,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.32,3.73,D
49.63474,36.86885,327.84,0.48,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.32,1.98,D
49.64959,36.87264,326.47,0.48,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.93,2.58,D
49.81131,36.96026,330.19,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.48,6.44,D
49.8166,36.95592,354.54,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.14,6.44,D
49.81456,36.94973,327.99,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.31,6.62,D
49.51545,35.79699,351.63,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.68,7.44,D
